id | image              | name_en        | name_fr
1  | france.png         | France         | France
2  | italy.png          | Italy          | Italie
3  | usa.png            | USA            | Etats-Unis
4  | india.png          | India          | Inde
5  | belgium.png        | Belgium        | Belgique
6  | china.png          | China          | Chine
7  | japan.png          | Japan          | Japon
8  | united_kingdom.png | United Kingdom | Royaume-Uni
9  | mexico.png         | Mexico         | Mexique
10 | spain.png          | Spain          | Espagne
11 | germany.png        | Germany        | Allemagne
12 | greece.png         | Greece         | Grèce
